natcode,Incid 1,Incid 2,Incid 3,Incid 4,Incid 5,Incid 6,Incid 7,Incid 8,Incid 9,Incid 10,Incid 11,Incid 12,Incid 13,Incid 14,Incid 15,Incid 16,Incid 17,Incid 18,Incid 19,Incid 20,Incid 21,Incid 22,Incid 23,Incid 24,Incid 25,Incid 26,Incid 27,Incid 28,Incid 29,Incid 30,Incid 31
33765,0.719499011,0.719499011,0.719499011,0.359749506,0,0,0,0.359749506,0.359749506,0.359749506,0.359749506,0.359749506,0.359749506,0.359749506,0.359749506,0.719499011,0.720355897,0.720355897,0.720355897,0.720355897,0.720355897,0.71779134,0.71779134,0.71779134,0.71779134,0.71779134,0.71779134,0.717507515,0.717507515,0.717507515,0.717507515
33658,0.366285124,0,0.366285124,0.732570249,0.732570249,0.732570249,0.732570249,0.732570249,0.732570249,0.732570249,0.732570249,0.732570249,0.732570249,0.732570249,0.732570249,0.732570249,0.732274619,0.732274619,1.098411928,1.464549238,1.464549238,1.465732234,1.465732234,1.465732234,1.465732234,1.465732234,1.465732234,1.465732234,1.465732234,1.465732234,1.465732234
33845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867388387,0.867388387,0.867388387,0.867388387,0.867388387,0.86905005,0.86905005,0.86905005,0.86905005,0.86905005,0.86905005,0.869883272,0.869883272,0.869883272,0.869883272
33881,0,0,0.740039358,0.740039358,0.740039358,0.740039358,0.740039358,0.740039358,0.740039358,0.740039358,0.740039358,0.740039358,0.740039358,0.740039358,0.740039358,0.740039358,0.740643472,1.481286943,1.481286943,2.962573886,2.962573886,1.481286943,2.962573886,2.962573886,2.962573886,2.962573886,2.962573886,3.703217358,3.703217358,3.703217358,3.703217358
33952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678600039,0.678600039
179659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366137309,0.366137309
33989,2.013585913,2.349183565,2.181384739,2.181384739,2.181384739,2.181384739,1.845787087,1.845787087,1.342390609,1.174591783,1.174591783,1.174591783,1.006792957,0.503396478,0.671195304,0.671195304,0.503769158,0.503769158,0.67169221,0.67169221,0.67169221,0.671816552,0.671816552,0.671816552,0.671816552,0.671816552,0.671816552,0.67169221,0.67169221,0.67169221,0.67169221
34075,0.321050337,0.321050337,0.321050337,0.642100675,0.642100675,0.642100675,0.321050337,0.321050337,0.321050337,0.321050337,0.321050337,0.321050337,0.321050337,0.321050337,0.963151011,0.963151011,0.963151011,0.963151011,1.284201349,2.24735236,2.24735236,1.284201349,2.568402697,2.568402697,2.889453034,3.210503372,3.210503372,3.20823286,3.20823286,3.849879432,3.849879432
32483,1.220148746,1.435469113,1.363695657,1.507242568,1.363695657,1.579016024,1.579016024,1.650789479,1.579016024,1.866109847,1.794336391,1.794336391,2.009656758,1.650789479,1.866109847,2.512070948,2.440104461,2.655407795,2.583640017,2.727175574,2.511872239,2.652679996,2.72437405,2.509291888,2.72437405,2.652679996,2.867762158,2.581597937,2.796731098,2.725020045,2.653308991
32544,0.622923621,0.545058167,0.545058167,0.467192715,0.467192715,0.389327262,0.389327262,0.389327262,0.389327262,0.545058167,0.545058167,0.700789073,0.856519978,0.700789073,1.012250883,0.93438543,1.089835739,1.167681149,1.245526559,1.323371969,1.323371969,1.245633434,1.323485524,1.323485524,1.245633434,1.479189704,1.790598062,1.557442714,1.479570578,1.479570578,1.479570578
32599,0.22517081,0.22517081,0.22517081,0.22517081,0.300227747,0.22517081,0.22517081,0.22517081,0.300227747,0.300227747,0.22517081,0.375284684,0.375284684,0.22517081,0.22517081,0.22517081,0.375222603,0.375222603,0.375222603,0.300178082,0.300178082,0.375160541,0.300128433,0.375160541,0.450192649,0.450192649,0.450192649,0.375191569,0.300153255,0.375191569,0.375191569
34155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34173,1.217836581,1.217836581,0.974269264,1.217836581,1.217836581,1.461403897,1.461403897,1.461403897,1.217836581,1.217836581,0.974269264,0.730701949,0.730701949,0.730701949,1.217836581,1.704971213,2.193872723,2.193872723,2.681399994,2.681399994,2.681399994,2.682120607,2.925949753,2.682120607,2.925949753,2.925949753,3.169778899,3.170630991,3.170630991,3.170630991,2.9267363
179720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606476105,0.606476105,0.606476105,0.606476105,0.606476105,0.606476105,0.606476105,0.606476105,0.606476105,0.606476105,0.606476105,0.60566639,0.60566639,0.60566639,0.60566639
34235,0,0.142163625,0.142163625,0.284327249,0.284327249,0.284327249,0.284327249,0.284327249,0.284327249,0.568654498,0.568654498,0.568654498,0.568654498,0.568654498,0.852981748,0.852981748,1.135885137,1.135885137,1.135885137,1.561842063,1.561842063,1.276672026,1.56037692,1.56037692,1.844081814,1.844081814,1.985934262,1.697716986,1.697716986,1.697716986,1.697716986
34262,0,0,0,0,0,0,0.320823286,0.641646572,0.641646572,0.641646572,0.641646572,0.641646572,0.641646572,0.641646572,0.641646572,0.641646572,0.642555419,0.642555419,0.642555419,0.642555419,0.642555419,0.642327967,0.642327967,0.642327967,0.321163983,0.321163983,0.321163983,0.320936771,0.320936771,0.320936771,0.320936771
34280,0.372068178,0.372068178,0.372068178,0.372068178,0.372068178,0.372068178,0.372068178,0.372068178,0.558102267,0.558102267,0.558102267,0.558102267,0.558102267,0.372068178,0.372068178,0.186034089,0.185843558,0.371687117,0.371687117,0.743374235,0.743374235,0.37191566,0.74383132,0.74383132,0.74383132,0.92978915,0.74383132,0.743678896,0.743678896,0.92959862,0.92959862
